Stripe,"Integration Engineer / Solutions Architect / Technical Account Manager | Amsterdam, London, Dublin, Singapore, New York, Paris, San Francisco | ONSITE, REMOTE, VISAInterested in increasing the GDP of the internet? My team is looking for strong technical generalists to join Customer Engineering at Stripe. Looking for people who are comfortable in multiple programming languages, interested in working with our users, and delving into complex integration problems spanning time, currencies, and alternative payment methods.We’re especially keen to chat if you are:* Confident and comfortable with customers. We're expecting to see user facing roles in your past or present.
* A strong technical generalist. Many of us were engineers in prior jobs. 
* Comfortable with code-level debugging (Stripe code and user code)
* Empathetic, collaborative, communicative, consultative
* Intellectually curious, with great problem solving skillsCheck out the roles here - https://stripe.com/jobs#customer-engineeringEmail me directly: f""dalan{chr(43)}hn-dec18{chr(64)}stripe{chr(46)}com"""
Fueled,"NYC, UK & Noida | Full-Time | https://fueled.com/jobs-- Who We Are --An award winning mobile app dev agency.-- Where You Fit In --You know how to create jaw-dropping websites and web/mobile applications.-- Open Roles --Director of Engineering | Shoreditch, UK | https://fueled.com/jobs/director-engineering-london/Lead Backend Engineer | Noida, IN | https://fueled.com/jobs/lead-backend-engineer-noida/Lead Product Manager | SoHo, NYC | https://fueled.com/jobs/lead-product-manager/Senior Android Engineer | Noida, IN | https://fueled.com/jobs/senior-android-engineer/Lead BD Strategist | SoHo, NYC | https://fueled.com/jobs/bd-manager/Senior Marketing Manager | SoHo, NYC | https://fueled.com/jobs/senior-marketing-manager/
                      
                      reply"
Disney Streaming,"Data Engineer (Senior and Junior) | Full Time | NYCBAMTech (now Disney Streaming) is hiring data engineers in NYC to build out the Disney+ data platform.Tech Stack: AWS, EMR, Spark, Spark Streaming, Python, Snowflake, Kinesis, KafkaApply here:
https://jobs.disneycareers.com/job/new-york/data-engineer/39...
https://jobs.disneycareers.com/job/new-york/sr-data-engineer...
                      
                      reply"
Stride Consulting (www.stridenyc.com/careers),"Senior + Mid-level Software Engineer Consultants| NYC | Onsite | Full-timeStride Consulting - Stride Consulting is NYC’s go-to Agile software development consulting firm. Ranked #5 Crains Best Places to Work in NYC.Our mission: Teach the World to Stride! We believe that high functioning development teams give an organization a true competitive advantage. We help tech teams up their game, and become the highest functioning version of themselves in perpetuity. Stride's purpose is to help teams improve their business through software. We form one team with our clients, and in doing so help them make their software development quality and process a true competitive advantage.Tech stacks:
Ruby, Python, Java, NodeTo apply:
Engineering Manager: https://grnh.se/72b2f8551
Senior Software Engineer: https://grnh.se/fd3fa6781
Software Engineer: https://grnh.se/4b331f691"
Komodo Health,"Sr. Engineers, Data Scientists, Analysts, Data Engineers, DevOps Engineers, Product Managers | NYC & SF | Full-time, OnsiteKomodo Health builds data-science and AI-powered products to help improve decision making in healthcare.  We are a data-first and engineering-driven company (Product & Engineering is over half the company - 60 out of 100, and growing fast).Our mission is to reduce the global burden of disease through the most actionable healthcare map. The map is where we process data and stitch together information about patients (have over 295M), healthcare providers, payers, etc.  Data Scientists, Data Engineers, DevOps, and Full Stack Engineers are key to our mission. We are a growth-stage startup with significant traction and revenue.Career Page: https://grnh.se/5ccd0c0d2Some of the roles we have open (most roles can be in SF or NYC):Data Science:
* Data Scientist* Data Science Manager* Sr. Data Scientist* Data AnalystEngineers:* Sr. Data Engineer* Sr. DevOps Engineer* Developer Experience & Tools Engineer* Staff Software Engineer / Architect* Data Engineer* Backend Engineer* Sr. Engineer - React* Sr. Software Engineer  Product:* Sr. Product Manager* Product DesignerStack: Spark, Airflow, Python, React, Scala, Kubernetes, Docker, AWS, PostgreSQL, Flask, Django"
TripleLift,"Full-Time, NYC or RemoteTripleLift (https://triplelift.com) started by launching the world's first and largest Native Programmatic ad exchange that allows sites to monetize using formats that are unique to their sites. Since then we've gotten into the branded content space (https://contentdial.com) and OTT (https://www.youtube.com/watch?v=lI0zYPOWKbE) and are always looking to find new areas of content consumption.AdTech is a complicated and tech heavy space that's pushing the boundary of what's possible so if you're interested in solve hard problems at scale definitely reach out to me at dgoldin@triplelift.com.We use the following technologies:- Java: Netty for the high performance NIO- Scala + Spark: Spark for our data pipeline- React + PHP + Node: Our UIs and APIs- Lots of distributed tech: ZooKeeper, Kafka, Spark, DruidWe're looking for the follow roles so please reach out if you're interested:- Lead DevOps Engineer: DevOps is core to what we do and we want to bring someone on to lead the team.- Data Scientists: All seniority levels but AdTech experience is preferred since the industry context is so valuable.- Senior Exchange Engineer: Work on our real time bidding exchange handling billions of auctions every day.- Solutions Engineer: Work with our commercial team to make sure our customers are successful on our platform by pushing our tech to do more."
Teachable,"New York, NY, USA | Full-Time | Onsite | https://teachable.com/careers
We provide a platform that lets anyone create, host and sell courses online, we have over 15 million students and well over 100k instructors on the platform. We had over $90m in courses sold last year, up from $30m in 2017, with this year trending for closer to $200 million. We are a team of 80 with an Eng/Product org of 30. We are hiring across the board with a focus on frontend (Typescript / React):Senior Frontend Engineers (React/Typescript) : https://teachable.com/job-posting?id=430bf544-d9ba-4978-b764....Senior Backend Engineers (Ruby on Rails) : https://teachable.com/job-posting?id=5fe8bb3d-a307-4429-8ee8....Lead QA Automation Engineer (Cucumber exp strongly preferred): https://teachable.com/job-posting?id=841211cf-5410-476f-b2a7....I can honestly say it’s the best place I’ve ever worked. I’m the CTO here, hit me up at noahp@teachable.com if you have any questions or head to https://teachable.com/careers/Check out our stack and a bit about what it’s like to work here on this post about How We Code at Teachable: https://medium.com/teachable/how-we-code-at-teachable-ff4285...."
Onai,"| San Jose or New York | FULL TIME, CONTRACTORS, GRADUATE INTERNS, POSTDOCTORAL FELLOWS, ONSITE, VISAWe're tackling exciting technical challenges and building offerings relevant to interesting real-world problems in a variety of fields. We have particular strengths in dispersed computation, protocol design, and deep learning.We're currently most interested in engineers with solid experience in Rust, Haskell/Idris, or graphics programming. We're also open to enthusiastic developers or researchers who might lack this precise experience but are eager and able to learn. We welcome internship/fellowship interest from postdoctoral scholars or senior graduate students.We're additionally interested in chatting with people with a scientific or engineering background who are interested in scientific and technical writing.We do not presently have openings for anyone still working on their undergraduate degree or for fresh graduates.Send your resume to info@onai.com and we'll let you know if there's a potential fit."
Thrive Networks,"Level II Engineer, Windows Administrator, Virtualization Engineer, other MSP roles | New York and Boston | Onsite | Full Time |Thrive Networks: https://www.thrivenetworks.com/careers-4/Contact info: mkaltur@thrivenetworks.comThrive is a rapidly growing technology solutions provider focusing upon Cloud, Cyber Security, Networking, Disaster Recovery and Managed Services. Our corporate culture, engineering talent, customer-centric approach, and focus upon “next generation” services help us stand out amongst our peers. Thrive is on the look-out for individuals who don’t view their weekdays spent at “a job”, but rather look to develop valuable skills that ignite their passion and lead to a CAREER.  If you’re attracted to a “work hard, play hard” environment, seeking the guidance, training and experience necessary to build a lucrative career, then welcome to THRIVE!"
The Atlantic,"NYC or Washington DC | Onsite | https://www.theatlantic.com/The Atlantic is a digital-first media company with over 160 years of history and 36 million readers a month. Founded in 1857 and today one of the fastest-growing media platforms in the industry, The Atlantic has throughout its history championed the power of big ideas and continues to shape global debate through our two websites: TheAtlantic.com and CityLab.com.Front End Lead | 
https://atlanticmedia.theresumator.com/apply/b6ZvfSoePVYou are an experienced developer with proven leadership and management experience well versed in the modern front-end, and can mentor junior members of the team on the latest best practices concerning ES6, SCSS, and performance.Senior Front End Developer | 
https://atlanticmedia.theresumator.com/apply/EfTMcPw1rGYou are an experienced developer and solid communicator with an interest in journalism and the media business. Above all, you’re a creative problem solver: able to devise and deliver practical, maintainable software that addresses Atlantic staffers’ and readers’ needs.Python Web Developer | 
https://atlanticmedia.theresumator.com/apply/wg6KVKTXIBYou are Python developer with a passion for clean code and great journalism, excited about working with our product team to implement and deploy new features to TheAtlantic.com and CityLab.com where they will be viewed by millions of people"
Radar,"Senior Server Engineer, Lead iOS Engineer | New York, NY | ONSITE | FULL-TIME | https://radar.io/Radar (https://radar.io) is the location context platform. We help companies build better products and make better decisions with location context.Radar is defining a new category of app platform. If Stripe is for payments and Twilio is for communications, Radar is for location.Radar processes 100B+ locations per year from 50M+ devices worldwide. In April 2018, TechCrunch named us a top 12 up-and-coming enterprise startup in NYC (https://techcrunch.com/gallery/up-and-coming-enterprise-star...).We're based in DUMBO, Brooklyn, New York City.Apply here:https://radar.io/jobs"
Hustle,"San Francisco and New York City | Onsite | https://hustle.comHustle is a peer-to-peer text messaging platform that provides organizations with an affordable, efficient, and effective tool to reach their target supporters and customers. By facilitating two-way conversations, we help users maintain genuine, personal dialogues with hundreds, thousands, and collectively millions of people. As a result, organizations like Planned Parenthood and Sierra Club can scale and humanize the way they rally their users to action.To learn more about who we are, our engineering culture, and whether this is the right place for you, read our Key Values profile: https://www.keyvalues.com/hustleOur open positions:* Senior Product Engineer, Back-end: https://boards.greenhouse.io/hustle/jobs/1048318* Senior Product Engineer, Front-end: https://boards.greenhouse.io/hustle/jobs/1048297* Staff Engineer, Platform: https://boards.greenhouse.io/hustle/jobs/1229084Tech Stack: Products and services are built end to end in JavaScript - React & React Native in front of Node.js over Mongo, which enables you to be as full-stack as you want to be.Read more about our diversity efforts here: https://bit.ly/2mYjFCmYou can message me at erin@hustle.com to learn more."
Betterment,"https://betterment.com | New York, NY | Onsite or REMOTE (certain roles)We built the new way of managing money will forever put customers first.
In 2010, we set out to build an institution. A place that helped our customers pursue happiness, efficiently, and an environment where our team would look back and feel that they were enabled and encouraged to do the best work of their lives.We set out to become the first and leading independent online financial advisor because we believed financial services could be better—that people deserved better. It's a belief that's shaped how we work, what we build, and our undying mission: to empower people to do what's best for their money, so they can live better.We're a fiduciary, which means we act in your best interests. We're not incentivized to recommend certain funds, and we don't have our own investment products to sell. That means we'll do what we believe is right for you, always.Recommended reading to have a good understanding of us as a company, what we do, how and what we value: https://www.betterment.com/TheBettermentWay============================Recruiting for various roles:- Site Reliability Engineering Manager- Full Stack Software Engineer- Software Engineer - Backend- Lead Information Security Software Engineer============================We use Ruby on Rails, Java 8, Scala, Python, Golang.Please reach out to me directly at andre@betterment.com or apply directly at https://betterment.com/careers/ (please mention HN Dec 2018).Happy to answer any questions via email."
Datawallet,"Data Engineers | Berlin, Germany | Full-time | OnsiteWe are looking for a full-time data engineer. You will be at the core of making people’s data work for them. You will design and maintain the ETL data pipeline—from pulling and parsing data from various APIs and downloaded data stores to populating normalized RDBs and calculating cached views (usually in a NoSQL form) to power our various data products and services.While you are not constrained in your tools, our current stack involves Python, Node.js, PostgreSQL, Airflow and various AWS services (all our infrastructure is hosted on AWS). You will be a core part of a highly skilled and motivated team located between Berlin and New York City that is changing one of the most unethical sectors in our modern economy.[Minimum Qualifications]- At least 4 years of software engineering experience (Python or Javascript), with at least 2 years experience in a data-focused role- Expertise in building out data pipelines, efficient ETL design, implementation, and maintenance- Mastery of databases (both relational and non-relational) and ability to generate normative schemas from datasets- Experience building and maintaining a data warehouse in production environments[Desirable Qualifications]- Experience with Apache Airflow, AWS tools, git, Linux- Experience with systems for transforming large datasets such as Spark or Hadoop- Familiarity with Python-based data science tools (e.g., pandas) is also highly desirable.[Compensation]- Highly competitive wages- Top-of-the-line equipment: Laptop of choice, custom monitor setup, optional standing desk, etc.- Opportunities to travel to both the Berlin and New York City HQhttps://datawallet.comTo apply send an email to careers@datawallet.com"
Second Measure (YC S15),"SF Bay Area - San Mateo, CA (downtown) | ONSITE | https://secondmeasure.com----Second Measure analyzes billions of credit card transactions to answer real-time questions about consumer behavior.Through our self-service analytics platform, we help our clients – some of the world’s largest brands and investment firms – answer questions like:  - Is Lyft gaining or losing market share in NYC? [1]
  - How many Tesla Model 3 preorders have been refunded? [2]
  - How dependent is Stitch Fix on its biggest spenders? [3]
  - (Check out our research blog [3])

We’re 50 people today - mostly senior engineers and data scientists. Two-thirds of us are technical, more than half with PhDs.We’re looking for other strong builders, especially those who can grow into leadership roles:  - Senior Software Engineer (backend/data/devops/frontend)
  - Senior Data Scientist
  - Senior Product Manager
  - (more)

I'm a founder (mike@). Apply directly [4] or email jobs@ and CC me.[1] http://www.sfchronicle.com/business/article/Lyft-gets-boost-...[2] https://www.recode.net/2018/6/4/17414496/nearly-a-quarter-of...[3] http://blog.secondmeasure.com/2017/12/07/whales/[4] https://boards.greenhouse.io/secondmeasure"
Greenhouse Software,"Engineering Manager | New York, NY | $170,000.00 - $185,000.00 | Full-time | Onsite | https://engineering.greenhouse.io/Greenhouse's fast growth and focus on continuous improvement is driving us to hire more Engineering Managers to build out new teams. Our Engineering Managers are both technical and managerial, so you will use both sides of your brain: writing and reviewing code, designing systems, growing the team, running planning sessions, and mentoring.In this role you will be given the opportunity to build and run a team of full-stack developers from scratch under your unique vision. Our developers are using Ruby on Rails, Javascript and React, with some services written in Golang, Clojure, and Elixir. You will get to make an impact at a SaaS company committed to testing, Agile best practices, and continuous improvement.We offer a full slate of benefits, including competitive salaries, stock options, medical, dental, vision, life and disability coverages, FSA, HSA, flexible vacation, commuter benefits, a 401K plan, and a parental leave program. And... we offer some not-so-standard, extra-fun benefits, including learning & development stipends, adoption and fertility benefits, an employee discount platform, and of course, fully stocked fridges and cold brew on tap.See the full job description and apply here: https://grnh.se/0f5c49b01
                      
                      reply"
Intersection,"https://www.intersection.com | Manhattan, New York City (NYC) | Multiple Roles | Full-time | ONSITEAt Intersection, we are at the forefront of the smart cities revolution. Our mission is to improve daily life in cities and public spaces, with products that bridge the digital and physical worlds by delivering connectivity, information and content to enrich our everyday journeys and elevate the urban experience. Our products include Link (such as LinkNYC), Transit, and programmatic advertising.Our stack includes modern JavaScript, Python, Scala, Swift, Ansible, AWS Services, Docker, React, Android, iOS, and a little bit of plain grit.Here are some of the roles we have open:  * Software Engineer
  * Senior Software Engineer
  * Mobile Engineer
  * Senior DevOps Engineer
  * Staff Engineer, Network Security
  * Sr. Engineering Manager
  * Technical Product Manager
  * Systems Engineer

See and apply to roles here: https://rebrand.ly/ixnjobs
                      
                      reply"
JW Player,"Software Engineers, Product Managers | New York (NYC), NY | ONSITE | Full-time
JW Player pioneered video on the web over a decade ago and continues to innovate as the world’s largest network-independent platform for video delivery and intelligence. Media companies including Fox, VICE, Business Insider, and Univision, in addition to hundreds of thousands of creators of all types and sizes, rely on JW Player to deliver and monetize their content across all devices. JW Player’s massive global footprint of over 2 billion unique devices creates a powerful data graph of unique consumer insights and generates billions of incremental video views.JW Player also started as and continues to be the most popular open-source video player: https://github.com/jwplayer/jwplayerAll our openings can be found here: https://www.jwplayer.com/company/careers/We have several openings available for Senior JavaScript engineers, as well as Software Engineering roles across our data and media delivery pipelines.If interested, please email me at pgodzin@jwplayer.com
                      
                      reply"
Arcesium,"Distributed Systems Engineer | Infrastructure Engineer | Software Engineer | Interns | New York, NY | Onsite | Full-Time | VisaArcesium is a post-trade technology and professional services firm. We offer a new way for hedge fund managers to scale their business while maintaining control of critical non-investment activities. Arcesium combines a comprehensive and fully-integrated technology platform with a team of experienced hedge fund professionals to solve the most complex post-trade challenges of asset managers. From real-time integration with order management systems to robust and automated oversight of third-party administrators, Arcesium offers managers an elegant, unified, and expert solution for their entire post-trade process.Arcesium is hiring the for following roles:1.	Distributed Systems Engineer
2.	Infrastructure Engineer
3.	Software Engineer 
4.	Software Engineer Intern
5.	Summer Core Infrastructure Intern
6.	Summer Software Engineer InternTo learn more about these positions, please visit our Careers page.To be considered, please send your resume to careers@arcesium.com.
                      
                      reply"
Anchor,"Backend Engineer, Android Engineer | New York, NY | ONSITEOur mission is to democratize podcasting. We believe that regardless of background or experience level, everyone should be able to have their voice heard. We’re making this a reality by building tools that allow anyone to make a podcast from start to finish, publish it on major platforms such as: Apple Podcasts, Spotify, and Google Podcasts with one tap, and monetize their content through sponsorship matching. As a result, the flood of shows people have created using Anchor — which now account for a third of all new podcasts created in the world — are representing a more diverse community than podcasting has ever seen before.As an early member of Anchor’s engineering team, you’ll play a critical role in helping us define the future of podcasting. You’ll get to work alongside a cross-functional team of engineering, product, content, and community team members. Our Android platform, specifically, was named a Play Store Best App in 2017 and was recently awarded a Material Design award by Google Design: https://design.google/library/material-design-awards-2018/Tech stack: React/Redux, Node.js, Postgres, and Kotlin on the Android sideApply here: https://anchor.fm/jobs or send us an email at jobs@anchor.fm"
Songtrust,"Senior Product Designer | New York City | Full-Time | Onsite | songtrust.comSongtrust is the world's largest global royalty collection service and publishing administrator, enabling nearly 150,000 songwriters and over 20,000 publishers to collect their publishing royalties worldwide for over 1,000,000 copyrights. Our industry-leading online solutions help songwriters, artists, managers, labels, and publishers simplify music rights management including the administration of music publishing assets, performing rights, and digital licensing.We are looking for a Senior Product Designer to make a giant impact on our entire company and collaborate with our Product and Engineering teams. Our team has built solutions that empower songwriters all over the world and it’s time to take those solutions to the next level. You will be tackling the industry’s most complex problems with your UX skills while creating delightful consumer facing products which will change the way songwriters make a living globally. We are in search for someone who is excited about completely disrupting an old industry top to bottom through user-centric design.If you are interested in learning more about our team and our mission, please email tcowan@songtrust.com or send in an application to: https://www.songtrust.com/jobs?gh_jid=4116785002."
Alpha,"New York City/NYC SoHo | Fullstack Engineer, Senior Fullstack Engineer, Machine Learning / NLP Engineer | ONSITE, FULL-TIME | $100 - $180k | https://alphahq.com We believe the path towards building better products involves more and faster experimentation. Alpha is an insights platform that enables teams to make data-driven decisions about products, users, and new markets. Users of our insights platform ask plain English questions and get back supporting data in hours or days, not weeks or months.
On the engineering front we're currently looking for both full-stack software engineers and ML/NLP specialists.Our stack: - Ruby - Node - MongoDB - PostgreSQL - Redis - Vue.js - AWS - HerokuFor more info check out the official posting (be sure to mention HN!):Machine Learning / NLP Engineer: https://alphahq.workable.com/jobs/779039Full Stack Engineer: https://alphahq.workable.com/jobs/854089Senior Full Stack Engineer: https://alphahq.workable.com/jobs/760511Feel free to also direct questions about the roles to yair [ at ] alphahq.com"
Fluidly,"London, UK | ONSITE | Data Engineer, Python Engineer, Data Scientist, Full Stack EngineerWe want to solve the biggest problem facing businesses – poor cashflow. We use technology to provide real-time cashflow forecasting and automated credit control.We recently closed a £5M funding round led by Nyca Partners [1]. We're one of Wired's hottest European startups [2] and have received numerous industry awards. We're hiring across the team, in particular in engineering and data science.We're a friendly and enthusiastic team using GCP, AWS and Heroku. We're about to go all-in on stream processing on GCP, so we're especially interested in people with experience in streaming. In data science, we use statistical and ML models to forecast time series and solve other problems within business finance.For more info and to apply visit https://fluidly-london.workable.com.If you have any questions before applying, feel free to email me at tom.phillips@fluidly.com.[1]: https://fluidly.com/blog/fluidly-raises-a-5m-series-a-round/
[2]: https://www.wired.co.uk/article/best-startups-in-london-2018"
SpokenLayer,"New York, NY | Software Engineer | Full-time, permanent | https://angel.co/spokenlayer/jobs/445274-senior-back-end-dev...SpokenLayer works with premier content partners like The Economist, Wired, TechCrunch, and IGN to bring their brands to give them a voice - literally. We ingest written content, add sponsorship messages, turn it all into audio (voiced by real humans) and distribute it via iTunes, Amazon Alexa, Google Home, Siri, and on the web. We're the largest supplier of voiced content to smart speaker platforms and our clients dig it!We're looking for engineers that will help us: build better smart speaker skills / work on dashboards & customer onboarding / metrics & reporting / tools to manage our distributed 'cloud studio' of voice artists.Our core services are currently written in Node.js and Python. Most apps run on AWS. Among the AWS tools and services we use: CloudFront, DynamoDB, ECS, Lambda, RDS, Redshift, SNS, SQS, CloudWatch, and S3.We'd prefer candidates based in NYC because you'll be working closely with our sales and operations teams (although we may be open to other options for the right candidate)."
Paperless Post (https://www.paperlesspost.com/),"New York, NY | Software Engineers | Full-time | Visa | OnsitePaperless Post is a social utility with 100 million+ users that uses technology to reimagine invitations and bring people together in the real world. We’re continuing to grow with the release of our new product, Flyer (paperlesspost.com/flyer) and we're investing in our infrastructure and platform. Engineering & product make up 60% of Paperless.We have multiple open roles across the stack. If you enjoy backend development, you’ll have an opportunity to build systems that are responsible for the next gen of services that enables product features, scaling and improving uptime using interesting technologies (Golang, Kubernetes, AWS, Postgres. MongoDB). Or if you enjoy working on the feature side, you’ll have the opportunity to set the direction and tone of the user discovery experience on a lean, high-performing feature team working with React, Go, Elasticsearch, Postgres, AWS, and GraphQL.We take a language-agnostic approach to hiring and don't require prior experience with Go or Ruby. We're looking for resourceful, collaborative, and humble people.I’m the Head of Recruiting and would love to hear from you: jchan@paperlesspost.com
Or if it’s easier, feel free to apply here:
https://grnh.se/943c55ce1
https://grnh.se/aeec65e01"
